Place,Magnitude,Date,Link
Southern Mid-Atlantic Ridge,5.3,2020-02-27,https://earthquake.usgs.gov/earthquakes/eventpage/us6000859r
Southern Mid-Atlantic Ridge,5.1,2020-02-26,https://earthquake.usgs.gov/earthquakes/eventpage/us60008535
"48km NNW of Saumlaki, Indonesia",5.9,2020-02-26,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu
"109km WNW of Kirakira, Solomon Islands",5.2,2020-02-25,https://earthquake.usgs.gov/earthquakes/eventpage/us6000848g
"50km NNW of Hualian, Taiwan",5.1,2020-02-25,https://earthquake.usgs.gov/earthquakes/eventpage/us70007we1
"79km W of Santiago de Cao, Peru",5.2,2020-02-24,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w9l
"240km SE of Lambasa, Fiji",5.2,2020-02-24,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w8g
"83km ESE of Muara Siberut, Indonesia",5.2,2020-02-24,https://earthquake.usgs.gov/earthquakes/eventpage/us70007w28
"24km SE of Saray, Turkey",6,2020-02-23,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g
"67km NE of Kuril'sk, Russia",5.2,2020-02-23,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v6u
"26km ESE of Saray, Turkey",5.8,2020-02-23,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29
"141km SE of Modayag, Indonesia",5.1,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v12
"135km SE of Modayag, Indonesia",5.3,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v0d
West Chile Rise,5.5,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uy4
"62km SSE of `Ohonua, Tonga",5.5,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uvu
"40km SSE of `Ohonua, Tonga",5.2,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007uuu
"110km SSE of Pondaguitan, Philippines",5.2,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usp
"114km SSE of Pondaguitan, Philippines",5.1,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007usm
"144km E of Chichi-shima, Japan",5.2,2020-02-22,https://earthquake.usgs.gov/earthquakes/eventpage/us70007upz
"36km SSW of Amatignak Island, Alaska",5.2,2020-02-21,https://earthquake.usgs.gov/earthquakes/eventpage/us70007u2w
"229km NW of Saumlaki, Indonesia",5.4,2020-02-20,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tt3
"153km ENE of Petropavlovsk-Kamchatskiy, Russia",5.8,2020-02-20,https://earthquake.usgs.gov/earthquakes/eventpage/us70007trb
"286km NNE of Luring, China",5.1,2020-02-20,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tnv
"13km SE of Kalbay, Philippines",5.4,2020-02-20,https://earthquake.usgs.gov/earthquakes/eventpage/us70007th0
South of the Kermadec Islands,5.1,2020-02-20,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tf0
"118km SE of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,2020-02-19,https://earthquake.usgs.gov/earthquakes/eventpage/us70007tdi
"93km SSW of Merizo Village, Guam",5.1,2020-02-19,https://earthquake.usgs.gov/earthquakes/eventpage/us70007t2i
North of Svalbard,5.2,2020-02-18,https://earthquake.usgs.gov/earthquakes/eventpage/us70007s90
